LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01017318,49.125,0.404,0.266,20.211,0.286,1.177
E01017319,38.640,0.134,0.002,10.530,0.199,1.232
E01017320,26.300,-0.055,-0.515,5.702,0.109,0.341
E01017321,19.144,-0.047,-0.244,29.077,0.110,0.181
E01017322,35.590,1.024,0.311,32.388,0.269,0.674
E01017323,10.854,-0.401,-1.019,29.957,0.049,-0.152
E01017324,24.008,-0.153,-0.683,16.360,0.178,0.342
E01017325,35.113,0.381,0.687,34.272,0.174,0.985
E01017326,34.310,0.629,0.377,41.719,0.226,1.020
E01017327,14.662,0.037,0.764,32.927,0.156,-0.086
E01017328,29.903,0.568,0.708,58.087,0.259,0.633
E01017329,17.049,-0.201,-0.796,12.820,0.073,0.353
E01017331,55.361,0.835,0.886,45.957,0.312,1.586
E01017332,60.455,0.801,0.534,50.474,0.389,1.590
E01017333,39.911,0.285,0.090,23.180,0.139,0.934
E01017334,26.816,1.086,-0.455,16.759,0.136,0.465
E01017335,21.518,0.242,0.663,43.009,0.122,0.376
E01017336,30.614,0.951,1.382,49.625,0.282,0.739
E01017337,25.972,0.452,0.967,42.557,0.161,0.750
E01017338,22.824,0.095,-0.366,20.002,0.134,0.473
E01017339,26.920,-0.161,0.041,35.334,0.175,0.468
E01017340,34.175,0.672,0.372,52.764,0.207,0.991
E01017341,40.527,0.030,-0.326,13.715,0.229,0.994
E01017342,20.694,0.469,0.159,19.006,0.177,0.452
E01017343,40.314,1.032,-0.001,19.437,0.347,0.988
E01017344,31.176,-0.481,-0.484,28.824,0.104,0.955
E01017345,62.075,0.268,0.050,11.330,0.357,1.783
E01017346,29.560,0.244,0.155,33.917,0.182,0.921
E01017347,39.722,0.389,0.353,22.706,0.251,1.025
E01017348,27.823,0.527,0.665,23.016,0.114,0.602
E01017349,30.412,0.217,0.672,33.954,0.222,0.742
E01017350,43.285,0.379,0.316,9.193,0.268,1.254
E01017351,21.415,-0.551,-0.366,11.626,0.108,0.617
E01017352,10.523,-0.289,-1.309,3.962,0.082,-0.181
E01017353,11.078,-0.274,-1.103,50.051,0.122,-0.371
E01017354,15.226,-0.056,-0.901,33.086,0.130,0.217
E01017355,24.931,-0.074,-0.174,10.278,0.210,0.676
E01017356,35.453,0.586,0.271,21.078,0.315,0.800
E01017357,30.779,-0.091,-0.207,29.665,0.183,0.572
E01017358,22.650,0.222,0.197,10.392,0.123,0.251
E01017359,22.117,0.123,0.189,18.515,0.139,0.336
E01017360,28.025,0.482,0.540,40.226,0.199,0.606
E01017361,15.139,-0.269,-0.159,15.191,0.156,0.164
E01017362,25.736,0.169,-0.609,22.386,0.152,0.726
E01017363,38.921,0.840,0.503,49.894,0.266,1.083
E01017364,22.799,0.101,0.460,52.557,0.134,0.316
E01017365,17.509,-0.127,-0.248,29.038,0.133,0.364
E01017366,52.986,0.264,0.182,37.873,0.352,1.672
E01017367,16.776,-0.128,-0.531,24.118,0.092,0.168
E01017368,31.515,-0.046,-0.868,22.068,0.111,0.940
E01017369,20.946,-0.129,-0.711,44.992,0.116,0.262
E01017370,28.397,0.233,-0.489,22.078,0.215,0.748
E01017371,4.411,-1.178,-0.527,6.786,0.055,-0.532
E01017372,13.499,-0.875,-0.442,13.300,0.109,0.157
E01017373,5.065,-1.312,-0.904,11.662,0.053,-0.557
E01017374,2.929,-0.717,-0.230,18.782,0.064,-0.990
E01017375,3.787,-0.644,-0.564,20.911,0.065,-0.730
E01017376,17.553,-0.570,-0.988,30.693,0.105,0.236
E01017377,14.875,-0.812,-0.489,16.711,0.088,0.012
E01017378,28.095,-0.199,-0.226,12.605,0.131,0.665
E01017379,10.301,-0.354,-0.182,28.376,0.069,-0.443
E01017380,1.557,-1.198,-1.277,24.891,0.026,-1.438
E01017381,12.872,-0.795,-0.530,9.865,0.077,-0.156
E01017382,26.737,-0.083,-0.212,12.469,0.109,0.475
E01017383,11.197,-0.822,-0.234,19.564,0.097,-0.225
